Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887635.9889908,0.0180811882019042,0,24,0,29882,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9889908,0.0180811882019042,0,25,0,31174,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9889908,0.0180811882019042,0,26,0,32466,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9889908,0.0180811882019042,0,27,0,33758,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9905436,0.0196340084075927,0,28,0,35050,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9915695,0.0206599235534667,0,29,0,36342,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9925709,0.0216612815856933,0,30,0,37634,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9934132,0.0225036144256591,0,31,0,38926,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9944222,0.0235126018524169,0,32,0,40218,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.995831,0.024503469467163,0,33,0,41510,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.995831,0.0249214172363281,0,34,0,42802,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.995831,0.0249214172363281,0,35,0,44094,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9967332,0.0258235931396484,0,36,0,45386,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9967332,0.0258235931396484,0,37,0,46678,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887635.9967332,0.0343892574310302,0,6,0,3058,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887635.9977465,0.0354025363922119,0,7,0,3132,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887635.9984355,0.0360040664672851,0,8,0,3207,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9987528,0.0278432369232177,0,38,0,47970,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.9987528,0.0278432369232177,0,39,0,49262,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.99991,0.0290005207061767,0,40,0,50554,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887635.99991,0.0290005207061767,0,41,0,51846,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0005372,0.0296275615692138,0,42,0,53138,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0005372,0.0296275615692138,0,43,0,54430,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0005372,0.0296275615692138,0,44,0,55722,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.001443,0.0305330753326416,0,45,0,57014,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0024445,0.0315346717834472,0,46,0,58306,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.003284,0.0323743820190429,0,47,0,59598,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0035346,0.0326249599456787,0,48,0,60890,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0035346,0.0326249599456787,0,49,0,62182,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0046277,0.0337181091308593,0,50,0,63474,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0046277,0.0337181091308593,0,51,0,64766,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0046277,0.0337181091308593,0,52,0,66058,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0058527,0.0349431037902832,0,53,0,67350,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.006418,0.0349431037902832,0,54,0,68642,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0065274,0.0356178283691406,0,55,0,69934,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0065274,0.0356178283691406,0,56,0,71226,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0065274,0.0356178283691406,0,57,0,72518,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0075328,0.0366232395172119,0,58,0,73810,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.008009,0.0370993614196777,0,59,0,75102,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0088882,0.0374293327331543,0,60,0,76394,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0089705,0.0380606651306152,0,61,0,77686,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0089705,0.0380606651306152,0,62,0,78978,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0098946,0.0389850139617919,0,63,0,80270,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0103998,0.0394902229309082,0,64,0,81562,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0103998,0.0394902229309082,0,65,0,82854,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0103998,0.0394902229309082,0,66,0,84146,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0114343,0.0394902229309082,0,67,0,85438,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0114343,0.0405247211456298,0,68,0,86730,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0114343,0.0405247211456298,0,69,0,88022,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0114343,0.0405247211456298,0,70,0,89314,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0124345,0.0415248870849609,0,71,0,90606,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0124345,0.0415248870849609,0,72,0,91898,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0124345,0.0415248870849609,0,73,0,93190,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0134327,0.0425231456756591,0,74,0,94482,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0134327,0.0425231456756591,0,75,0,95774,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0134327,0.0425231456756591,0,76,0,97066,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0134327,0.0425231456756591,0,77,0,98358,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0144322,0.0435225963592529,0,78,0,99650,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0144322,0.0435225963592529,0,79,0,100942,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0144322,0.0435225963592529,0,80,0,102234,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0164485,0.0455389022827148,0,81,0,103526,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0189855,0.0480761528015136,0,82,0,104818,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0222275,0.0513179302215576,0,83,0,106110,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
